Year,Historical,Ensemble,10th percentile,90th percentile,FGOALS-g2 ,MIROC5 ,NorESM1-M ,IPSL-CM5A-MR ,CESM1-CAM5 ,GFDL-ESM2G ,MIROC-ESM-CHEM ,MPI-ESM-MR ,IPSL-CM5A-LR ,GFDL-CM3 ,HadGEM2-AO ,CNRM-CM5 ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,bcc-csm1-1 ,MRI-CGCM3 ,NorESM1-ME ,GFDL-ESM2M ,BNU-ESM ,bcc-csm1-1-m ,MIROC-ESM ,CanESM2 ,CCSM4 ,HadGEM2-ES 
1950,181.6,192,143.65,277,208.8 ,133.2 ,152.4 ,157.1 ,218.7 ,172.8 ,252.4 ,175.3 ,162.8 ,170.8 ,160.9 ,268.5 ,134.9 ,194.9 ,155.2 ,194.3 ,285.5 ,152.4 ,211.9 ,181.1 ,183.7 ,160.8 ,209.3 ,309.1 
1951,233.5,184,134.85,242.8,225.5 ,227.0 ,225.0 ,130.6 ,172.9 ,153.2 ,169.9 ,180.9 ,151.5 ,141.8 ,210.6 ,167.8 ,139.1 ,189.4 ,164.0 ,186.4 ,178.3 ,152.3 ,115.4 ,254.2 ,185.8 ,266.1 ,207.5 ,231.4 
1952,151.7,186,131.75,255.85,125.5 ,188.2 ,147.6 ,192.9 ,228.8 ,230.7 ,180.4 ,138.0 ,146.7 ,235.5 ,265.2 ,188.0 ,251.7 ,260.0 ,236.6 ,180.9 ,157.9 ,170.6 ,170.4 ,76.4 ,140.7 ,171.1 ,229.1 ,173.4 
1953,191.4,181,119.8,237.15,146.4 ,72.4 ,168.3 ,156.3 ,119.2 ,192.6 ,196.5 ,191.5 ,191.7 ,209.7 ,243.3 ,207.4 ,120.4 ,221.5 ,185.9 ,172.3 ,190.1 ,163.7 ,226.0 ,235.1 ,172.4 ,151.7 ,173.8 ,239.2 
1954,171.9,178,132.45,274.4,226.0 ,174.7 ,141.6 ,147.6 ,100.9 ,132.9 ,168.7 ,181.5 ,136.1 ,161.8 ,132.0 ,216.3 ,141.2 ,162.2 ,149.3 ,199.5 ,152.2 ,240.1 ,275.9 ,276.2 ,164.4 ,272.9 ,167.8 ,155.0 
1955,160.6,176,124.7,237.6,159.7 ,250.3 ,167.7 ,214.9 ,148.2 ,160.9 ,137.9 ,127.8 ,150.2 ,290.9 ,224.9 ,182.0 ,182.5 ,164.2 ,219.9 ,134.5 ,147.0 ,121.6 ,118.7 ,194.6 ,146.7 ,205.0 ,206.9 ,178.2 
1956,191.9,171,120.2,244.65,146.4 ,203.8 ,179.1 ,211.5 ,271.7 ,185.2 ,112.1 ,174.3 ,253.0 ,139.4 ,215.8 ,160.5 ,158.2 ,225.4 ,212.9 ,130.3 ,122.0 ,142.7 ,118.4 ,134.2 ,124.0 ,127.9 ,129.8 ,236.3 
1957,163.1,193,151.6,234.7,231.9 ,254.4 ,237.5 ,185.0 ,178.7 ,198.1 ,190.9 ,228.7 ,209.8 ,203.1 ,176.8 ,174.7 ,152.6 ,215.5 ,167.2 ,170.5 ,217.0 ,154.3 ,229.2 ,149.8 ,173.6 ,226.5 ,168.1 ,150.6 
1958,190.4,160,105.85,231.4,153.6 ,160.2 ,115.3 ,290.0 ,133.4 ,144.2 ,142.5 ,230.0 ,130.0 ,169.4 ,138.1 ,192.9 ,188.4 ,94.3 ,154.5 ,102.9 ,142.7 ,159.7 ,108.8 ,232.8 ,152.3 ,183.4 ,144.0 ,178.5 
1959,260.1,193,142.5,263.25,163.4 ,150.5 ,236.6 ,166.8 ,176.2 ,134.5 ,160.6 ,170.6 ,285.8 ,265.5 ,191.7 ,185.3 ,206.5 ,164.7 ,199.2 ,222.7 ,249.1 ,179.2 ,155.2 ,219.7 ,176.6 ,261.0 ,190.4 ,120.4 
1960,116.6,189,118.7,259.25,150.1 ,134.0 ,268.2 ,199.6 ,185.6 ,120.2 ,163.8 ,149.3 ,264.1 ,228.7 ,117.2 ,192.2 ,172.5 ,108.8 ,249.7 ,188.0 ,189.7 ,214.4 ,229.9 ,228.4 ,155.1 ,157.2 ,254.4 ,213.7 
1961,190.3,194,144.2,266.9,238.3 ,102.3 ,175.8 ,197.5 ,266.9 ,215.4 ,144.6 ,155.3 ,185.1 ,165.3 ,299.2 ,185.9 ,212.3 ,178.8 ,266.9 ,205.2 ,205.9 ,151.8 ,157.9 ,143.8 ,200.7 ,202.2 ,233.3 ,172.8 
1962,115.3,196,113.75,273.45,273.1 ,185.8 ,199.0 ,128.4 ,213.6 ,197.2 ,262.3 ,198.7 ,167.2 ,208.7 ,170.4 ,223.0 ,288.2 ,233.6 ,118.1 ,273.8 ,193.1 ,202.5 ,109.4 ,99.6 ,233.5 ,151.5 ,196.3 ,190.3 
1963,142.8,176,119,240.75,182.4 ,216.2 ,216.9 ,146.7 ,132.4 ,250.2 ,245.7 ,165.6 ,161.5 ,105.9 ,156.9 ,184.0 ,134.6 ,165.0 ,92.1 ,161.5 ,132.1 ,196.5 ,205.4 ,235.8 ,232.0 ,201.8 ,144.0 ,177.3 
1964,242,176,119.65,235.45,165.1 ,201.2 ,139.3 ,275.0 ,163.6 ,167.3 ,171.0 ,169.4 ,164.8 ,213.6 ,165.1 ,163.2 ,215.3 ,226.7 ,157.8 ,244.2 ,100.9 ,160.7 ,125.5 ,113.8 ,199.0 ,185.8 ,192.7 ,153.6 
1965,154.4,172,130.65,221.6,156.8 ,219.6 ,178.5 ,168.7 ,223.6 ,195.8 ,156.5 ,170.9 ,123.3 ,106.3 ,235.9 ,188.4 ,145.8 ,143.5 ,144.8 ,179.7 ,192.0 ,138.0 ,153.0 ,218.0 ,158.1 ,212.6 ,159.2 ,174.0 
1966,184,186,125.9,265.9,143.6 ,171.1 ,172.4 ,207.6 ,187.7 ,139.8 ,142.6 ,224.3 ,203.5 ,283.0 ,210.0 ,231.5 ,166.7 ,108.2 ,151.8 ,181.5 ,251.0 ,114.5 ,158.1 ,196.8 ,280.8 ,193.4 ,137.3 ,210.8 
1967,191.5,178,112.05,238.65,151.8 ,242.7 ,198.3 ,73.5 ,153.6 ,183.7 ,234.6 ,101.3 ,212.8 ,162.1 ,203.7 ,208.6 ,213.5 ,191.0 ,132.0 ,168.2 ,173.7 ,138.9 ,165.4 ,231.5 ,183.3 ,122.8 ,255.7 ,174.1 
1968,161.7,195,126.85,265.95,260.3 ,189.1 ,271.6 ,173.2 ,239.7 ,212.6 ,124.3 ,207.7 ,165.1 ,151.3 ,237.8 ,109.3 ,413.1 ,144.5 ,236.9 ,202.7 ,182.0 ,182.1 ,157.7 ,192.0 ,129.4 ,158.1 ,153.7 ,187.4 
1969,147.1,173,110.65,233.3,132.4 ,173.8 ,106.5 ,150.3 ,151.9 ,125.9 ,181.8 ,269.6 ,151.5 ,134.7 ,160.8 ,91.9 ,225.5 ,222.9 ,114.8 ,200.3 ,182.0 ,241.1 ,151.0 ,216.1 ,207.1 ,196.6 ,223.5 ,140.5 
1970,226.1,166,101.05,217.45,197.7 ,178.0 ,93.0 ,179.3 ,141.3 ,176.4 ,201.0 ,192.7 ,167.7 ,105.7 ,186.3 ,111.3 ,211.8 ,96.4 ,167.1 ,138.8 ,223.1 ,147.7 ,223.9 ,153.5 ,175.2 ,157.3 ,211.6 ,168.4 
1971,218.1,169,126.85,213.15,148.5 ,138.6 ,183.1 ,165.0 ,149.7 ,170.4 ,147.8 ,169.5 ,212.2 ,174.5 ,124.7 ,186.6 ,139.2 ,185.1 ,248.0 ,192.4 ,117.1 ,129.0 ,214.1 ,194.7 ,140.1 ,164.2 ,205.2 ,159.1 
1972,182.7,202,163.75,245.85,191.5 ,198.3 ,206.2 ,193.7 ,264.6 ,240.8 ,204.3 ,186.0 ,155.4 ,133.9 ,225.8 ,172.1 ,184.0 ,250.9 ,213.5 ,184.8 ,174.3 ,240.8 ,237.7 ,220.5 ,191.3 ,177.6 ,192.5 ,217.3 
1973,201.4,194,122.8,244.6,214.5 ,155.4 ,248.8 ,229.2 ,203.9 ,164.3 ,181.1 ,146.0 ,163.2 ,160.4 ,233.8 ,116.2 ,175.2 ,272.3 ,227.2 ,240.4 ,234.9 ,227.3 ,207.2 ,109.0 ,129.4 ,239.3 ,239.5 ,153.0 
1974,180.9,183,139.45,252.4,153.1 ,140.8 ,174.9 ,206.1 ,170.1 ,199.2 ,164.2 ,138.1 ,204.9 ,179.8 ,243.3 ,183.5 ,182.9 ,152.5 ,156.3 ,154.1 ,182.3 ,167.7 ,241.0 ,278.7 ,261.5 ,185.7 ,200.2 ,93.3 
1975,219,186,133.85,245.4,165.4 ,198.3 ,163.7 ,226.8 ,156.9 ,189.0 ,206.8 ,139.9 ,163.8 ,172.6 ,157.3 ,120.9 ,219.7 ,263.7 ,169.3 ,302.3 ,127.8 ,189.2 ,221.0 ,197.2 ,164.8 ,161.1 ,227.1 ,182.1 
1976,142.5,177,140.8,218.65,132.5 ,151.9 ,156.5 ,155.8 ,194.2 ,146.3 ,214.5 ,216.6 ,156.7 ,215.6 ,171.1 ,165.6 ,141.4 ,140.2 ,172.0 ,154.2 ,193.2 ,173.8 ,188.4 ,202.0 ,220.7 ,233.9 ,155.9 ,194.9 
1977,229,168,123.55,221.05,135.3 ,173.3 ,132.5 ,204.4 ,116.0 ,227.9 ,193.9 ,165.0 ,211.9 ,154.5 ,162.9 ,214.2 ,182.9 ,137.0 ,177.4 ,234.9 ,128.2 ,128.0 ,133.9 ,185.6 ,119.1 ,144.8 ,184.2 ,202.8 
1978,178.7,179,116.55,241,152.6 ,148.9 ,158.5 ,121.3 ,228.6 ,144.0 ,219.9 ,177.8 ,211.3 ,111.8 ,170.1 ,168.9 ,184.6 ,147.3 ,319.4 ,243.2 ,182.1 ,178.6 ,155.4 ,100.1 ,230.6 ,156.3 ,160.1 ,238.8 
1979,164.3,185,139,228,215.1 ,220.8 ,183.8 ,161.2 ,244.3 ,158.5 ,213.6 ,196.0 ,170.3 ,195.7 ,190.3 ,177.1 ,178.8 ,217.6 ,186.4 ,172.6 ,235.2 ,204.3 ,162.5 ,185.0 ,167.9 ,119.5 ,114.4 ,178.8 
1980,176.4,176,125.4,230.1,144.5 ,145.4 ,174.9 ,155.6 ,135.5 ,226.3 ,178.3 ,175.4 ,120.7 ,188.3 ,162.5 ,225.2 ,135.1 ,184.3 ,145.9 ,222.3 ,212.1 ,130.1 ,163.8 ,233.9 ,209.0 ,112.2 ,196.6 ,266.0 
1981,157.9,197,146.25,258.65,191.4 ,135.5 ,160.9 ,194.2 ,200.5 ,203.2 ,220.0 ,187.3 ,192.3 ,203.8 ,187.8 ,289.9 ,195.9 ,248.7 ,224.2 ,154.6 ,150.9 ,268.6 ,217.9 ,168.5 ,141.6 ,193.7 ,161.7 ,236.6 
1982,175.2,172,108.9,253.6,260.2 ,106.0 ,187.8 ,164.8 ,163.9 ,111.8 ,130.4 ,224.6 ,162.6 ,270.7 ,191.9 ,172.4 ,164.1 ,120.7 ,83.9 ,171.3 ,194.8 ,165.4 ,134.8 ,247.0 ,173.2 ,206.3 ,176.1 ,157.7 
1983,222.7,182,127.4,223.85,163.7 ,186.5 ,195.4 ,169.0 ,147.0 ,197.9 ,167.9 ,197.4 ,208.3 ,172.6 ,133.2 ,161.6 ,188.9 ,172.4 ,182.8 ,214.6 ,123.9 ,226.5 ,354.4 ,180.0 ,221.2 ,175.9 ,130.9 ,101.3 
1984,216.1,171,110.65,245.1,178.4 ,188.7 ,149.5 ,229.6 ,133.1 ,158.2 ,161.1 ,187.8 ,107.5 ,100.6 ,113.8 ,263.8 ,197.9 ,121.4 ,120.9 ,260.6 ,183.6 ,168.5 ,133.7 ,198.3 ,181.4 ,184.2 ,191.9 ,196.0 
1985,144.3,171,116.35,248.05,110.1 ,247.6 ,149.7 ,146.6 ,123.2 ,187.8 ,224.8 ,184.3 ,144.2 ,148.9 ,194.5 ,113.0 ,248.5 ,157.3 ,171.1 ,169.0 ,119.7 ,156.4 ,208.4 ,129.6 ,179.9 ,190.4 ,257.1 ,158.3 
1986,154.5,191,125.35,257.9,239.6 ,221.8 ,219.5 ,260.6 ,176.1 ,190.6 ,180.3 ,250.7 ,151.4 ,174.7 ,120.6 ,199.2 ,129.3 ,190.9 ,259.7 ,126.1 ,256.1 ,229.4 ,211.5 ,143.2 ,164.6 ,124.6 ,209.8 ,172.1 
1987,166.9,199,131.8,263.8,247.7 ,204.5 ,176.2 ,204.5 ,175.4 ,173.1 ,156.9 ,199.8 ,196.8 ,186.9 ,250.3 ,246.4 ,184.9 ,162.5 ,150.3 ,124.7 ,138.9 ,291.9 ,223.6 ,269.2 ,252.3 ,258.4 ,109.0 ,204.5 
1988,114.2,200,143.2,258.1,245.0 ,195.0 ,276.0 ,131.8 ,245.3 ,236.6 ,156.8 ,268.1 ,158.8 ,152.0 ,248.1 ,187.9 ,210.2 ,231.4 ,152.7 ,208.7 ,213.0 ,163.8 ,227.5 ,178.7 ,177.0 ,199.7 ,134.4 ,207.2 
1989,184.1,180,112.8,261.5,235.5 ,295.3 ,166.6 ,131.1 ,279.6 ,180.8 ,173.4 ,84.6 ,222.6 ,165.9 ,236.6 ,169.8 ,142.4 ,179.1 ,133.9 ,94.5 ,207.9 ,195.8 ,177.6 ,149.6 ,173.2 ,148.5 ,153.3 ,243.4 
1990,204.5,202,163.2,262.05,169.9 ,196.9 ,226.6 ,274.1 ,190.7 ,280.5 ,194.1 ,231.1 ,164.7 ,182.0 ,184.1 ,154.6 ,176.2 ,220.7 ,250.0 ,169.2 ,222.6 ,189.3 ,179.9 ,192.4 ,233.0 ,208.3 ,161.7 ,204.1 
1991,160.5,176,121.3,244.25,155.7 ,179.3 ,168.7 ,156.5 ,204.2 ,150.8 ,176.6 ,245.4 ,172.6 ,243.1 ,131.5 ,147.7 ,254.0 ,211.5 ,197.5 ,211.7 ,172.1 ,126.0 ,99.3 ,116.6 ,214.1 ,161.8 ,145.0 ,185.5 
1992,215.4,185,112.6,248.35,194.9 ,192.5 ,237.8 ,359.5 ,184.1 ,202.9 ,187.1 ,117.3 ,145.1 ,131.6 ,128.6 ,173.2 ,107.9 ,101.8 ,251.8 ,211.2 ,184.9 ,244.9 ,195.5 ,166.2 ,188.0 ,131.7 ,213.7 ,200.5 
1993,155.3,175,120.4,227.65,189.0 ,169.3 ,107.6 ,168.1 ,249.3 ,167.4 ,194.2 ,160.9 ,164.2 ,203.8 ,138.7 ,176.5 ,191.1 ,172.6 ,245.0 ,210.3 ,189.7 ,123.3 ,197.4 ,194.1 ,159.1 ,142.4 ,173.0 ,117.5 
1994,202.5,176,112.2,261.35,270.2 ,137.8 ,169.0 ,152.6 ,172.1 ,247.3 ,257.2 ,182.5 ,157.0 ,126.8 ,106.5 ,167.8 ,117.9 ,195.2 ,122.0 ,121.6 ,190.2 ,265.5 ,129.6 ,85.5 ,239.6 ,243.7 ,171.5 ,194.2 
1995,163,175,126.55,248.3,129.8 ,231.3 ,123.3 ,243.2 ,186.9 ,149.3 ,163.9 ,215.1 ,278.0 ,186.8 ,214.4 ,170.6 ,133.9 ,157.9 ,182.7 ,154.7 ,214.8 ,99.0 ,190.8 ,130.6 ,132.7 ,136.9 ,253.4 ,132.1 
1996,257.6,175,112.65,255.35,151.7 ,181.6 ,268.7 ,155.3 ,154.5 ,97.1 ,123.6 ,208.7 ,307.5 ,202.6 ,196.0 ,206.2 ,125.9 ,217.8 ,178.2 ,116.5 ,108.8 ,242.0 ,148.4 ,169.7 ,125.3 ,169.6 ,217.2 ,137.8 
1997,192.7,176,122.05,261.15,120.6 ,126.0 ,215.9 ,130.2 ,124.5 ,170.4 ,167.1 ,183.1 ,178.1 ,181.7 ,200.2 ,171.0 ,123.5 ,170.4 ,259.8 ,88.2 ,208.4 ,278.5 ,188.1 ,170.9 ,262.5 ,238.8 ,127.6 ,143.2 
1998,189.8,185,104.35,250.45,178.7 ,181.9 ,226.4 ,183.8 ,235.9 ,196.0 ,123.0 ,163.7 ,136.3 ,85.7 ,251.0 ,234.5 ,202.3 ,210.1 ,207.1 ,154.5 ,249.9 ,253.5 ,197.9 ,156.4 ,192.0 ,213.2 ,142.2 ,75.6 
1999,137.4,204,145.8,288.7,160.0 ,194.1 ,206.6 ,164.7 ,210.3 ,183.1 ,224.9 ,158.2 ,363.3 ,167.4 ,174.7 ,205.9 ,136.2 ,267.4 ,154.7 ,279.3 ,204.9 ,224.3 ,298.1 ,213.4 ,192.7 ,163.6 ,136.9 ,230.1 
2000,197.2,192,148.6,261.2,159.1 ,244.4 ,184.2 ,188.7 ,157.5 ,205.1 ,160.7 ,286.7 ,190.4 ,245.0 ,158.3 ,184.0 ,155.6 ,174.6 ,209.4 ,268.1 ,167.2 ,161.1 ,141.6 ,192.2 ,127.3 ,254.3 ,214.9 ,186.9 
2001,147.6,202,134.65,258.3,232.6 ,209.3 ,188.3 ,291.7 ,207.6 ,255.1 ,261.5 ,167.1 ,205.4 ,214.9 ,222.1 ,196.6 ,156.6 ,187.8 ,162.1 ,126.1 ,222.1 ,251.2 ,136.0 ,133.3 ,225.1 ,169.7 ,203.3 ,239.4 
2002,133.7,213,153,276.4,242.5 ,196.2 ,231.9 ,191.0 ,216.1 ,244.8 ,254.1 ,130.0 ,206.4 ,321.8 ,200.3 ,169.0 ,216.1 ,171.4 ,197.9 ,184.1 ,237.6 ,187.4 ,203.0 ,262.1 ,211.7 ,137.0 ,217.0 ,290.7 
2003,162.4,187,124.85,254.1,181.6 ,180.6 ,146.9 ,182.9 ,102.3 ,220.3 ,216.2 ,211.7 ,196.5 ,252.1 ,130.2 ,256.1 ,318.4 ,119.5 ,161.0 ,176.8 ,150.4 ,145.7 ,177.5 ,234.7 ,199.5 ,170.0 ,132.5 ,225.5 
2004,225,180,108.05,243.25,247.2 ,77.3 ,140.2 ,64.6 ,244.0 ,175.8 ,197.6 ,138.8 ,155.6 ,242.5 ,171.3 ,158.8 ,226.9 ,218.2 ,208.6 ,212.3 ,160.3 ,177.5 ,197.6 ,163.7 ,209.1 ,184.2 ,183.3 ,170.3 
2005,212.4,179,119.6,218,206.7 ,216.5 ,175.0 ,201.7 ,169.7 ,172.2 ,200.5 ,206.7 ,169.1 ,183.3 ,122.3 ,166.2 ,185.1 ,236.7 ,97.4 ,219.5 ,154.3 ,201.1 ,187.0 ,154.8 ,116.9 ,169.0 ,182.3 ,201.7 
2006,167.6,197,129.9,294.75,202.9 ,197.8 ,224.9 ,133.1 ,320.6 ,173.2 ,174.3 ,286.6 ,131.5 ,302.9 ,210.6 ,243.5 ,198.1 ,131.9 ,172.5 ,216.5 ,223.3 ,245.5 ,104.5 ,191.1 ,180.3 ,128.3 ,159.4 ,175.2 
2007,255.3,190,130.7,261.65,204.0 ,310.5 ,160.0 ,173.9 ,128.7 ,175.2 ,153.2 ,237.2 ,171.0 ,242.6 ,179.3 ,185.8 ,198.2 ,155.5 ,206.2 ,208.0 ,214.1 ,132.7 ,203.4 ,189.5 ,172.1 ,128.3 ,168.5 ,280.7 
2008,238.3,185,138,238.05,193.3 ,166.8 ,241.4 ,187.8 ,134.7 ,213.8 ,212.5 ,146.3 ,177.1 ,263.2 ,186.6 ,144.5 ,117.7 ,199.7 ,234.7 ,144.6 ,231.3 ,141.3 ,233.1 ,197.4 ,157.2 ,166.2 ,173.2 ,197.9 
2009,148.2,194,132.75,270.1,186.4 ,153.4 ,181.4 ,240.9 ,175.0 ,286.4 ,187.8 ,115.4 ,148.7 ,255.8 ,206.5 ,145.2 ,248.5 ,200.0 ,175.6 ,164.5 ,234.1 ,120.3 ,223.4 ,202.9 ,203.5 ,284.4 ,145.8 ,179.1 
2010,133.2,193,138.4,276.15,208.2 ,176.6 ,156.7 ,197.6 ,277.1 ,183.8 ,275.2 ,228.8 ,132.5 ,162.0 ,202.3 ,192.6 ,171.0 ,200.5 ,278.4 ,161.3 ,185.2 ,128.7 ,176.9 ,212.7 ,256.9 ,169.9 ,144.3 ,169.6 
2011,169.4,204,147.25,265.25,162.5 ,181.3 ,240.1 ,143.0 ,192.7 ,203.3 ,314.3 ,192.4 ,263.6 ,252.5 ,216.6 ,213.3 ,193.5 ,181.4 ,158.4 ,197.6 ,211.3 ,204.8 ,151.5 ,266.9 ,188.4 ,140.3 ,221.3 ,226.4 
2012,240.4,201,136.1,270.15,169.7 ,140.5 ,179.7 ,241.6 ,203.3 ,168.8 ,260.5 ,187.1 ,131.7 ,198.0 ,190.2 ,340.3 ,176.2 ,219.0 ,240.4 ,113.6 ,247.5 ,225.4 ,200.1 ,193.1 ,161.2 ,205.8 ,279.8 ,171.1 
2014,,191,143.9,255.55,172.7 ,131.9 ,173.4 ,155.3 ,222.6 ,223.0 ,144.4 ,163.8 ,164.7 ,181.8 ,143.4 ,206.4 ,147.9 ,196.6 ,199.8 ,176.4 ,229.3 ,167.7 ,204.0 ,189.4 ,292.0 ,281.8 ,204.7 ,213.0 
2015,,195,146,262.35,166.1 ,238.9 ,247.4 ,153.0 ,286.4 ,249.2 ,255.5 ,197.8 ,161.1 ,148.3 ,238.0 ,119.1 ,269.2 ,208.0 ,166.0 ,143.7 ,194.6 ,160.8 ,186.3 ,186.1 ,171.7 ,192.2 ,192.6 ,164.4 
2016,,196,127.35,277.2,243.2 ,192.3 ,366.1 ,142.2 ,203.9 ,209.0 ,122.4 ,226.2 ,152.5 ,199.0 ,210.4 ,219.5 ,124.9 ,129.8 ,190.5 ,149.6 ,154.0 ,246.7 ,210.8 ,307.7 ,205.8 ,157.5 ,135.9 ,207.8 
2017,,199,140,278,208.0 ,270.2 ,204.8 ,246.8 ,192.5 ,295.4 ,181.4 ,285.8 ,137.8 ,180.5 ,125.7 ,176.8 ,244.4 ,144.5 ,178.3 ,180.5 ,156.2 ,254.9 ,188.0 ,220.7 ,191.8 ,219.5 ,142.2 ,169.1 
2018,,208,145.3,265.05,287.0 ,176.9 ,263.2 ,139.5 ,184.6 ,252.3 ,224.8 ,217.9 ,244.3 ,161.5 ,226.0 ,151.1 ,56.8 ,195.6 ,266.9 ,227.4 ,210.0 ,254.9 ,202.4 ,189.0 ,229.4 ,218.2 ,198.1 ,224.0 
2019,,210,159.9,271.55,240.4 ,156.8 ,233.4 ,166.5 ,196.8 ,281.2 ,229.8 ,265.4 ,270.6 ,163.0 ,163.8 ,179.2 ,165.7 ,238.9 ,272.5 ,205.0 ,223.2 ,236.7 ,143.0 ,182.0 ,206.2 ,167.4 ,192.3 ,264.7 
2020,,188,133.1,278.75,165.8 ,142.0 ,205.8 ,189.8 ,167.8 ,169.1 ,170.3 ,263.2 ,137.3 ,292.0 ,136.4 ,201.3 ,200.6 ,268.0 ,137.0 ,224.9 ,129.8 ,174.0 ,144.7 ,258.8 ,139.8 ,119.7 ,289.5 ,196.6 
2021,,186,114.5,246.4,112.9 ,169.5 ,221.0 ,142.9 ,208.1 ,197.0 ,219.6 ,299.7 ,222.3 ,116.1 ,188.2 ,243.7 ,231.9 ,145.4 ,161.5 ,103.1 ,249.1 ,155.0 ,185.4 ,208.4 ,151.5 ,168.0 ,237.8 ,135.0 
